agency,borough,total_requests,open_requests,closed_requests,backlog_rate,avg_resolution_hours,high_risk_backlog_flag
DSNY,MANHATTAN,1539,287,1252,0.18648473034437946,26.513272097976586,false
DSNY,QUEENS,2333,501,1832,0.21474496356622375,27.553648107714718,true
DCWP,MANHATTAN,172,110,62,0.6395348837209303,34.84086021505375,true
DOT,UNKNOWN,55,21,34,0.38181818181818183,22.47303921568627,true
DCWP,QUEENS,150,90,60,0.6,37.035555555555554,true
DPR,UNKNOWN,54,45,9,0.8333333333333334,18.32037037037037,true
DHS,BRONX,70,13,57,0.18571428571428572,9.448538011695904,false
NYPD,UNKNOWN,3,0,3,0.0,2.1055555555555556,false
DOHMH,UNKNOWN,5,5,0,1.0,,false
EDC,STATEN ISLAND,4,4,0,1.0,,false
EDC,BROOKLYN,57,57,0,1.0,,true
HPD,MANHATTAN,3088,1991,1097,0.6447538860103627,58.7954421148588,true
HPD,QUEENS,1682,1017,665,0.6046373365041617,60.956115288220474,true
DOB,BRONX,507,252,255,0.4970414201183432,25.182149901380683,true
TLC,BRONX,33,32,1,0.9696969696969697,58.233333333333334,false
NYPD,BROOKLYN,15048,190,14858,0.012626262626262626,3.1151231659711835,false
DOT,BROOKLYN,2071,967,1104,0.46692419121197487,30.7567857142857,true
DEP,BROOKLYN,1954,715,1239,0.36591606960081885,22.276244283023935,true
TLC,QUEENS,190,168,22,0.8842105263157894,60.6060606060606,true
DPR,BROOKLYN,2367,1827,540,0.7718631178707225,40.807098765432144,true
DOHMH,BROOKLYN,778,612,166,0.7866323907455013,69.3821285140562,true
TLC,MANHATTAN,618,516,102,0.8349514563106796,67.97892156862746,true
HPD,BRONX,4447,3081,1366,0.6928266246908028,71.60562469497324,true
OOS,BROOKLYN,22,22,0,1.0,,false
OTI,MANHATTAN,5,5,0,1.0,,false
DOB,QUEENS,689,432,257,0.6269956458635704,13.751209482341558,true
DOB,MANHATTAN,525,272,253,0.518095238095238,22.358698412698413,true
OTI,QUEENS,1,1,0,1.0,,false
DHS,BROOKLYN,321,38,283,0.11838006230529595,14.577031802120135,false
DOB,STATEN ISLAND,171,119,52,0.695906432748538,28.66705653021443,true
TLC,STATEN ISLAND,4,4,0,1.0,,false
NYPD,STATEN ISLAND,1427,28,1399,0.019621583742116328,2.854777221825106,false
DSNY,BRONX,1139,317,822,0.2783143107989464,24.063990267639902,true
DHS,MANHATTAN,1036,186,850,0.17953667953667954,9.536470588235296,false
DHS,QUEENS,137,9,128,0.06569343065693431,7.223567708333334,false
DOT,STATEN ISLAND,439,221,218,0.5034168564920274,31.546681749622927,true
DEP,STATEN ISLAND,299,102,197,0.3411371237458194,21.548646362098136,true
DPR,STATEN ISLAND,521,225,296,0.43186180422264875,23.365596846846852,true
DCWP,BRONX,96,58,38,0.6041666666666666,28.25043859649123,true
DOHMH,STATEN ISLAND,119,107,12,0.8991596638655462,66.29861111111111,true
OOS,STATEN ISLAND,1,1,0,1.0,,false
NYPD,BRONX,8681,94,8587,0.010828245593825597,3.0754163270059474,false
DEP,BRONX,1459,307,1152,0.21041809458533242,18.08308738425926,true
DPR,BRONX,984,500,484,0.508130081300813,37.118904958677675,true
DSNY,STATEN ISLAND,607,141,466,0.23228995057660626,45.522818311874076,true
DOHMH,BRONX,365,232,133,0.6356164383561644,71.68208020050126,true
DOT,BRONX,836,391,445,0.4677033492822967,29.56537324464151,true
HPD,BROOKLYN,4433,2703,1730,0.6097450936160613,64.74476878612724,true
EDC,MANHATTAN,71,71,0,1.0,,true
DCWP,STATEN ISLAND,18,12,6,0.6666666666666666,32.06388888888889,false
EDC,QUEENS,28,28,0,1.0,,false
OOS,BRONX,16,16,0,1.0,,false
NYPD,QUEENS,13606,177,13429,0.013008966632368073,3.2922245389331675,false
NYPD,MANHATTAN,7135,70,7065,0.009810791871058164,2.028804604207943,false
DEP,QUEENS,1578,586,992,0.37135614702154623,18.636945564516118,true
DEP,MANHATTAN,1336,470,866,0.35179640718562877,22.824461123941507,true
DOT,QUEENS,2666,1170,1496,0.43885971492873216,27.51943543153796,true
DPR,QUEENS,4262,2507,1755,0.5882214922571563,47.53663817663817,true
DPR,MANHATTAN,859,538,321,0.6263096623981373,30.790342679127722,true
DOT,MANHATTAN,1277,524,753,0.41033672670321064,31.282257383966247,true
DOHMH,MANHATTAN,628,425,203,0.6767515923566879,66.4087848932677,true
DHS,STATEN ISLAND,20,1,19,0.05,1.8017543859649119,false
DOHMH,QUEENS,527,421,106,0.7988614800759013,67.13254716981132,true
TLC,BROOKLYN,118,116,2,0.9830508474576272,52.80833333333334,true
DOB,BROOKLYN,1082,634,448,0.5859519408502772,20.926186075169436,true
OOS,QUEENS,30,30,0,1.0,,false
OOS,MANHATTAN,31,25,6,0.8064516129032258,122.11666666666667,false
DSNY,UNKNOWN,5,0,5,0.0,22.19,false
DCWP,UNKNOWN,3,3,0,1.0,,false
EDC,BRONX,1,1,0,1.0,,false
OTI,BROOKLYN,1,1,0,1.0,,false
DSNY,BROOKLYN,2667,796,1871,0.2984626921634796,37.87092463923032,true
DCWP,BROOKLYN,209,140,69,0.6698564593301436,31.160386473429952,true
HPD,STATEN ISLAND,266,178,88,0.6691729323308271,75.20492424242423,true
TLC,UNKNOWN,17,13,4,0.7647058823529411,69.09166666666667,false
DOB,UNKNOWN,1,1,0,1.0,0.0,false
