complaint_type,total_requests,open_requests,closed_requests,backlog_rate,avg_resolution_hours,median_resolution_hours,pct_closed_within_24h,pct_closed_within_7d
Noise - Residential,9167,140,9027,0.015272171921021054,2.6947989365237515,1.3166666666666667,0.9786189593105705,0.984727828078979
Noise - Street/Sidewalk,6141,88,6053,0.014329913694837975,2.354843328377105,1.3,0.9829018075232047,0.9856700863051621
Animal-Abuse,285,0,285,0.0,3.788479532163743,2.0,0.9894736842105263,1.0
Street Condition,3151,955,2196,0.3030783878133926,34.62410022779041,20.933333333333334,0.40114249444620753,0.6921612186607426
Traffic,206,0,206,0.0,2.974595469255664,1.7833333333333334,1.0,1.0
Overgrown Tree/Branches,1402,1267,135,0.9037089871611983,31.883827160493826,20.166666666666668,0.06134094151212553,0.09629101283880172
Illegal Posting,137,28,109,0.20437956204379562,47.509938837920494,43.46666666666667,0.32116788321167883,0.7956204379562044
General Construction/Plumbing,1160,562,598,0.4844827586206897,22.20932471264367,2.6,0.6982758620689655,0.9939655172413793
Curb Condition,268,247,21,0.9216417910447762,106.7436507936508,102.75,0.007462686567164179,0.0708955223880597
Broken Parking Meter,78,38,40,0.48717948717948717,52.499166666666646,45.78333333333333,0.1282051282051282,0.5128205128205128
Disorderly Youth,7,0,7,0.0,9.519047619047617,2.7333333333333334,0.8571428571428571,1.0
Municipal Parking Facility,1,1,0,1.0,,,0.0,0.0
Incorrect Data,4,4,0,1.0,,,0.0,0.0
AHV Inspection Unit,1,1,0,1.0,0.0,0.0,1.0,1.0
Non-Emergency Police Matter,703,4,699,0.005689900426742532,2.728803051979018,1.5166666666666666,0.9886201991465149,0.9943100995732574
Noise - Park,298,10,288,0.03355704697986577,2.7140625000000003,1.1416666666666666,0.9630872483221476,0.9664429530201343
Lost Property,187,60,127,0.32085561497326204,66.98832020997375,72.13333333333334,0.12299465240641712,0.679144385026738
Street Sign - Dangling,78,42,36,0.5384615384615384,65.22129629629632,63.75833333333333,0.05128205128205128,0.46153846153846156
Dead Animal,367,100,267,0.2724795640326976,39.043008739076186,29.616666666666667,0.22615803814713897,0.7275204359673024
Outdoor Dining,166,161,5,0.9698795180722891,20.26,18.4,0.024096385542168676,0.030120481927710843
Lot Condition,71,71,0,1.0,,,0.0,0.0
Air Quality,236,109,127,0.461864406779661,52.57034120734907,44.833333333333336,0.1652542372881356,0.538135593220339
Dead/Dying Tree,647,572,75,0.884080370942813,51.69800000000001,42.6,0.04173106646058733,0.11282843894899536
Street Sign - Missing,87,53,34,0.6091954022988506,57.09166666666666,44.233333333333334,0.08045977011494253,0.39080459770114945
Building/Use,558,449,109,0.8046594982078853,12.713172043010754,0.0,0.8279569892473119,0.9982078853046595
Street Sign - Damaged,143,58,85,0.40559440559440557,54.10019607843138,41.75,0.20279720279720279,0.5944055944055944
ELEVATOR,39,30,9,0.7692307692307693,88.2462962962963,78.01666666666667,0.02564102564102564,0.23076923076923078
