request_date,borough,complaint_type,total_requests,open_requests,closed_requests,backlog_rate,avg_resolution_hours,median_resolution_hours,pct_closed_within_24h,pct_closed_within_7d
2026-06-13,QUEENS,Noise - Residential,46,29,17,0.6304347826086957,0.41470588235294115,0.25,0.3695652173913043,0.3695652173913043
2026-06-13,BROOKLYN,Noise - Commercial,23,12,11,0.5217391304347826,0.5909090909090908,0.5333333333333333,0.4782608695652174,0.4782608695652174
2026-06-13,BRONX,Noise - Residential,38,28,10,0.7368421052631579,0.705,0.7916666666666666,0.2631578947368421,0.2631578947368421
2026-06-13,BRONX,Noise - Street/Sidewalk,49,18,31,0.3673469387755102,0.553763440860215,0.48333333333333334,0.6326530612244898,0.6326530612244898
2026-06-13,QUEENS,Noise - Street/Sidewalk,13,9,4,0.6923076923076923,0.5333333333333333,0.575,0.3076923076923077,0.3076923076923077
2026-06-13,BROOKLYN,Illegal Fireworks,2,0,2,0.0,1.35,1.35,1.0,1.0
2026-06-12,MANHATTAN,Illegal Parking,206,2,204,0.009708737864077669,2.240032679738563,1.325,0.9902912621359223,0.9902912621359223
2026-06-12,MANHATTAN,Water System,116,10,106,0.08620689655172414,0.04229559748427672,0.0,0.9137931034482759,0.9137931034482759
2026-06-12,QUEENS,Noise - Commercial,30,7,23,0.23333333333333334,2.1557971014492754,1.1166666666666667,0.7666666666666667,0.7666666666666667
2026-06-12,QUEENS,Illegal Fireworks,2,0,2,0.0,1.1583333333333334,1.1583333333333334,1.0,1.0
2026-06-12,BROOKLYN,Encampment,17,4,13,0.23529411764705882,2.230769230769231,1.1333333333333333,0.7647058823529411,0.7647058823529411
2026-06-13,QUEENS,Street Condition,3,3,0,1.0,,,0.0,0.0
2026-06-13,BROOKLYN,Noise - Helicopter,1,1,0,1.0,,,0.0,0.0
2026-06-13,STATEN ISLAND,Residential Disposal Complaint,1,1,0,1.0,,,0.0,0.0
2026-06-13,MANHATTAN,Traffic Signal Condition,2,2,0,1.0,,,0.0,0.0
2026-06-13,BROOKLYN,Smoking or Vaping,1,1,0,1.0,,,0.0,0.0
2026-06-12,MANHATTAN,Noise,57,56,1,0.9824561403508771,19.55,19.55,0.017543859649122806,0.017543859649122806
2026-06-12,MANHATTAN,Consumer Complaint,20,20,0,1.0,,,0.0,0.0
2026-06-12,QUEENS,Residential Disposal Complaint,13,12,1,0.9230769230769231,7.816666666666666,7.816666666666666,0.07692307692307693,0.07692307692307693
2026-06-12,MANHATTAN,WATER LEAK,29,29,0,1.0,,,0.0,0.0
2026-06-12,QUEENS,Rodent,18,18,0,1.0,,,0.0,0.0
2026-06-12,MANHATTAN,UNSANITARY CONDITION,78,78,0,1.0,,,0.0,0.0
2026-06-12,MANHATTAN,Food Establishment,15,15,0,1.0,,,0.0,0.0
2026-06-12,BRONX,GENERAL,33,33,0,1.0,,,0.0,0.0
