agency_key,agency,agency_name
1,DCWP,Department of Consumer and Worker Protection
2,DEP,Department of Environmental Protection
3,DHS,Department of Homeless Services
4,DOB,Department of Buildings
5,DOHMH,Department of Health and Mental Hygiene
6,DOT,Department of Transportation
7,DPR,Department of Parks and Recreation
8,DSNY,Department of Sanitation
9,EDC,Economic Development Corporation
10,HPD,Department of Housing Preservation and Development
11,NYPD,New York City Police Department
12,OOS,Office of the Sheriff
13,OTI,Office of Technology and Innovation
14,TLC,Taxi and Limousine Commission
