date_key,date_day,year,quarter,month,month_name,week_of_year,day_name,day_of_week
20260604,2026-06-04,2026,2,6,June,23,Thursday,4
20260526,2026-05-26,2026,2,5,May,22,Tuesday,2
20260602,2026-06-02,2026,2,6,June,23,Tuesday,2
20260603,2026-06-03,2026,2,6,June,23,Wednesday,3
20260607,2026-06-07,2026,2,6,June,23,Sunday,0
20260613,2026-06-13,2026,2,6,June,24,Saturday,6
20260612,2026-06-12,2026,2,6,June,24,Friday,5
20260610,2026-06-10,2026,2,6,June,24,Wednesday,3
20260609,2026-06-09,2026,2,6,June,24,Tuesday,2
20260606,2026-06-06,2026,2,6,June,23,Saturday,6
20260611,2026-06-11,2026,2,6,June,24,Thursday,4
20260608,2026-06-08,2026,2,6,June,24,Monday,1
20260605,2026-06-05,2026,2,6,June,23,Friday,5
